RSPB,County,Species,Mean 2020,Rank 2020,% Gardens 2020,Mean 2019,Rank 2019,% Gardens 2019,% Change,Rank Change,% change in % gardens recorded
ESRO,Aberdeenshire,Willow_tit,0.0,79,0.0,0.0,79,0.0,NA,0,NA
ESRO,Angus,House_sparrow,7.9,1,79.5,8.9,1,83.5,-11.4,0,-4.8
ESRO,Angus,Starling,4.1,2,39.5,4.1,2,41.6,-0.3,0,-5.0
ESRO,Angus,Blackbird,2.9,3,88.3,3.1,5,89.8,-6.9,2,-1.7
ESRO,Angus,Blue_tit,2.8,4,75.8,3.4,4,78.9,-16.1,0,-3.9
ESRO,Angus,Chaffinch,2.4,5,51.9,3.5,3,58.3,-30.3,-2,-10.9
ESRO,Angus,Goldfinch,2.3,6,32.7,2.2,7,35.5,1.5,1,-7.8
ESRO,Angus,Woodpigeon,2.0,7,67.8,2.4,6,76.6,-17.6,-1,-11.5
ESRO,Angus,Robin,1.5,8,88.3,1.6,10,89.3,-6.6,2,-1.1
ESRO,Angus,Great_tit,1.4,9,52.4,1.8,8,59.6,-25.0,-1,-12.2
ESRO,Angus,Coal_tit,1.1,10,48.4,1.6,9,51.4,-32.1,-1,-5.7
ESRO,Angus,Long_tailed_tit,1.1,11,18.6,0.9,13,19.3,22.9,2,-3.5
ESRO,Angus,Dunnock,1.1,12,44.0,1.0,11,45.7,4.8,-1,-3.6
ESRO,Angus,Carrion_crow,0.9,13,31.1,0.8,14,36.2,8.1,1,-13.9
ESRO,Angus,Collared_dove,0.9,14,33.8,1.0,12,37.6,-4.7,-2,-10.0
ESRO,Angus,Feral_pigeon,0.8,15,16.9,0.6,16,12.9,36.8,1,30.8
ESRO,Angus,Jackdaw,0.7,16,17.4,0.4,18,15.1,54.3,2,15.2
ESRO,Angus,Magpie,0.5,17,26.9,0.4,19,18.8,50.1,2,43.2
ESRO,Angus,Greenfinch,0.5,18,17.7,0.7,15,26.9,-35.8,-3,-34.0
ESRO,Angus,Tree_sparrow,0.4,19,8.3,0.5,17,10.1,-17.9,-2,-17.6
ESRO,Angus,Wren,0.3,20,25.4,0.2,22,17.7,33.4,2,43.5
ESRO,Angus,Pheasant,0.2,21,10.6,0.3,20,10.7,-9.1,-1,-1.0
ESRO,Angus,Great_spotted_woodpecker,0.2,22,12.2,0.2,21,17.0,-27.8,-1,-28.6
ESRO,Angus,Song_thrush,0.1,23,8.6,0.2,24,10.7,-17.1,1,-20.1
ESRO,Angus,Buzzard,0.1,24,4.0,0.1,27,4.4,-15.6,3,-10.9
ESRO,Angus,Sparrowhawk,0.1,25,5.9,0.1,29,5.9,-0.1,4,-0.1
ESRO,Angus,Herring_gull,0.1,26,2.6,0.1,26,3.7,-37.8,0,-28.4
ESRO,Angus,Rook,0.0,27,2.3,0.0,34,1.1,5.4,7,108.0
ESRO,Angus,Siskin,0.0,28,2.0,0.2,23,8.1,-79.3,-5,-75.7
ESRO,Angus,Redwing,0.0,29,1.0,0.0,70,0.0,Inf,41,Inf
ESRO,Angus,Bullfinch,0.0,30,2.0,0.0,38,1.1,167.4,8,78.3
ESRO,Angus,Common_gull,0.0,31,1.3,0.0,31,2.2,-38.5,0,-40.8
ESRO,Angus,Treecreeper,0.0,32,2.7,0.0,32,4.5,-40.2,0,-40.2
ESRO,Angus,Jay,0.0,33,2.0,0.0,41,0.7,137.7,8,167.4
ESRO,Angus,Yellowhammer,0.0,34,1.7,0.1,25,4.5,-76.2,-9,-63.2
ESRO,Angus,Grey_heron,0.0,35,1.3,0.0,40,1.1,19.3,5,19.3
ESRO,Angus,Red_kite,0.0,36,0.7,0.0,48,0.7,78.3,12,-10.9
ESRO,Angus,Pied_wagtail,0.0,37,0.7,0.0,47,0.7,34.2,10,-10.6
ESRO,Angus,Moorhen,0.0,38,0.7,0.0,50,0.4,167.4,12,78.3
ESRO,Angus,Redpoll,0.0,39,0.7,0.0,42,0.4,32.7,3,77.0
ESRO,Angus,Barn_owl,0.0,40,0.7,0.0,52,0.0,Inf,12,Inf
ESRO,Angus,Blackcap,0.0,41,0.3,0.0,37,0.7,-40.6,-4,-55.4
ESRO,Angus,Goldcrest,0.0,42,0.7,0.0,39,0.7,-40.6,-3,-10.9
ESRO,Angus,Mallard,0.0,43,0.3,0.0,46,0.4,-10.9,3,-10.9
ESRO,Angus,Kestrel,0.0,44,0.3,0.0,36,1.5,-77.7,-8,-77.7
ESRO,Angus,Raven,0.0,45,0.3,0.0,69,0.0,Inf,24,Inf
ESRO,Angus,Stock_dove,0.0,46,0.3,0.0,73,0.0,Inf,27,Inf
ESRO,Angus,Tawny_owl,0.0,47,0.3,0.0,74,0.0,Inf,27,Inf
ESRO,Angus,Black_redstart,0.0,48,0.0,0.0,53,0.0,NA,5,NA
ESRO,Angus,Brambling,0.0,49,0.0,0.1,28,3.3,-100.0,-21,-100.0
ESRO,Angus,Chiffchaff,0.0,50,0.0,0.0,54,0.0,NA,4,NA
ESRO,Angus,Corn_bunting,0.0,51,0.0,0.0,55,0.0,NA,4,NA
ESRO,Angus,Fieldfare,0.0,52,0.0,0.1,30,1.5,-100.0,-22,-100.0
ESRO,Angus,Gadwall,0.0,53,0.0,0.0,56,0.0,NA,3,NA
ESRO,Angus,Great_black_backed_gull,0.0,54,0.0,0.0,57,0.0,NA,3,NA
ESRO,Angus,Great_crested_grebe,0.0,55,0.0,0.0,58,0.0,NA,3,NA
ESRO,Angus,Green_woodpecker,0.0,56,0.0,0.0,49,0.4,-100.0,-7,-100.0
ESRO,Angus,Grey_partridge,0.0,57,0.0,0.0,59,0.0,NA,2,NA
ESRO,Angus,Grey_wagtail,0.0,58,0.0,0.0,35,1.1,-100.0,-23,-100.0
ESRO,Angus,Hawfinch,0.0,59,0.0,0.0,80,0.0,NA,21,NA
ESRO,Angus,Hooded_crow,0.0,60,0.0,0.0,60,0.0,NA,0,NA
ESRO,Angus,Lapwing,0.0,61,0.0,0.0,61,0.0,NA,0,NA
ESRO,Angus,Lesser_black_backed_gull,0.0,62,0.0,0.0,62,0.0,NA,0,NA
ESRO,Angus,Lesser_spotted_woodpecker,0.0,63,0.0,0.0,43,0.7,-100.0,-20,-100.0
ESRO,Angus,Linnet,0.0,64,0.0,0.0,63,0.0,NA,-1,NA
ESRO,Angus,Little_owl,0.0,65,0.0,0.0,64,0.0,NA,-1,NA
ESRO,Angus,Marsh_tit,0.0,66,0.0,0.0,65,0.0,NA,-1,NA
ESRO,Angus,Meadow_pipit,0.0,67,0.0,0.0,66,0.0,NA,-1,NA
ESRO,Angus,Mistle_thrush,0.0,68,0.0,0.0,44,0.7,-100.0,-24,-100.0
ESRO,Angus,Mute_swan,0.0,69,0.0,0.0,67,0.0,NA,-2,NA
ESRO,Angus,Nuthatch,0.0,70,0.0,0.0,68,0.0,NA,-2,NA
ESRO,Angus,Red_legged_partridge,0.0,71,0.0,0.0,45,0.4,-100.0,-26,-100.0
ESRO,Angus,Reed_bunting,0.0,72,0.0,0.0,71,0.0,NA,-1,NA
ESRO,Angus,Ring_necked_parakeet,0.0,73,0.0,0.0,72,0.0,NA,-1,NA
ESRO,Angus,Skylark,0.0,74,0.0,0.0,51,0.4,-100.0,-23,-100.0
ESRO,Angus,Teal,0.0,75,0.0,0.0,75,0.0,NA,0,NA
ESRO,Angus,Tufted_duck,0.0,76,0.0,0.0,76,0.0,NA,0,NA
ESRO,Angus,Waxwing,0.0,77,0.0,0.0,77,0.0,NA,0,NA
ESRO,Angus,Wigeon,0.0,78,0.0,0.0,78,0.0,NA,0,NA
ESRO,Angus,Willow_tit,0.0,79,0.0,0.0,79,0.0,NA,0,NA
NIRO,Antrim,Starling,4.8,1,60.3,4.7,2,60.1,1.8,1,0.3
NIRO,Antrim,House_sparrow,4.7,2,67.7,5.0,1,68.0,-4.8,-1,-0.5
NIRO,Antrim,Goldfinch,2.5,3,37.8,2.5,4,40.4,2.7,1,-6.4
NIRO,Antrim,Blackbird,2.2,4,85.9,2.4,6,88.1,-9.5,2,-2.5
NIRO,Antrim,Blue_tit,2.1,5,72.9,2.4,5,77.9,-12.7,0,-6.3
NIRO,Antrim,Chaffinch,1.9,6,52.3,2.7,3,62.7,-28.0,-3,-16.7
NIRO,Antrim,Magpie,1.7,7,69.7,1.6,9,67.0,9.0,2,4.0
NIRO,Antrim,Robin,1.6,8,90.1,1.6,8,88.7,1.5,0,1.6
NIRO,Antrim,Great_tit,1.4,9,56.2,1.8,7,63.9,-23.3,-2,-12.0
NIRO,Antrim,Coal_tit,1.2,10,54.6,1.3,11,55.8,-4.9,1,-2.1
NIRO,Antrim,Collared_dove,1.2,11,49.0,1.4,10,52.3,-12.0,-1,-6.3
NIRO,Antrim,Woodpigeon,1.1,12,47.2,1.1,13,44.5,-1.2,1,6.1
NIRO,Antrim,Feral_pigeon,1.0,13,21.2,1.2,12,25.9,-18.8,-1,-18.2
NIRO,Antrim,Jackdaw,0.9,14,25.8,1.0,15,26.4,-5.6,1,-2.1
NIRO,Antrim,Long_tailed_tit,0.8,15,19.4,0.7,16,19.0,9.2,1,1.8
NIRO,Antrim,Dunnock,0.6,16,33.4,0.6,17,35.8,0.1,1,-6.9
NIRO,Antrim,Wren,0.3,17,26.2,0.3,19,27.3,-4.7,2,-3.9
NIRO,Antrim,Song_thrush,0.3,18,20.2,0.2,20,18.9,8.2,2,7.2
NIRO,Antrim,Greenfinch,0.3,19,12.1,0.3,18,14.7,-25.1,-1,-18.2
NIRO,Antrim,Rook,0.2,20,5.1,0.2,21,3.9,12.1,1,32.3
NIRO,Antrim,Pied_wagtail,0.1,21,6.2,0.1,22,8.3,-27.3,1,-24.7
NIRO,Antrim,Bullfinch,0.1,22,4.5,0.1,26,4.0,14.8,4,13.9
NIRO,Antrim,Tree_sparrow,0.1,23,1.6,0.1,23,2.4,-30.1,0,-32.0
NIRO,Antrim,Hooded_crow,0.1,24,3.7,1.1,14,24.9,-94.6,-10,-85.1
NIRO,Antrim,Pheasant,0.1,25,2.5,0.1,28,3.0,-2.2,3,-17.1
NIRO,Antrim,Blackcap,0.1,26,3.9,0.1,27,5.4,-18.6,1,-29.0
NIRO,Antrim,Common_gull,0.0,27,1.5,0.1,24,2.3,-50.0,-3,-32.6
NIRO,Antrim,Herring_gull,0.0,28,1.1,0.0,39,0.7,100.1,11,46.7
NIRO,Antrim,Siskin,0.0,29,1.5,0.1,25,3.3,-61.7,-4,-52.7
NIRO,Antrim,Redwing,0.0,30,0.9,0.0,38,0.7,51.1,8,20.4
NIRO,Antrim,Jay,0.0,31,1.6,0.0,33,2.4,-6.0,2,-32.0
NIRO,Antrim,Goldcrest,0.0,32,2.2,0.0,31,2.5,-20.0,-1,-12.4
NIRO,Antrim,Buzzard,0.0,33,1.6,0.0,32,1.8,-20.3,-1,-9.7
NIRO,Antrim,Redpoll,0.0,34,1.1,0.0,30,2.9,-57.4,-4,-62.4
NIRO,Antrim,Sparrowhawk,0.0,35,1.6,0.0,37,2.2,-24.3,2,-24.3
NIRO,Antrim,Grey_wagtail,0.0,36,1.5,0.0,35,2.2,-42.8,-1,-33.3
NIRO,Antrim,Mallard,0.0,37,0.5,0.0,36,0.5,-54.4,-1,-0.1
NIRO,Antrim,Mistle_thrush,0.0,38,1.0,0.0,40,1.0,-38.3,2,0.2
